time,site,et,hectares,megaliters
2016-03-20,US-Twt,1.032,2.125,0.022
2016-03-21,US-Bi1,2.222,2.126,0.047
2016-03-21,US-Bi2,1.052,2.129,0.022
2016-03-21,US-Tw3,1.945,2.13,0.041
2016-03-21,US-Twt,1.081,2.125,0.023
2016-03-22,US-Bi1,2.777,2.126,0.059
2016-03-22,US-Bi2,1.316,2.129,0.028
2016-03-22,US-Tw3,2.457,2.13,0.052
2016-03-22,US-Twt,1.357,2.125,0.029
2016-03-23,US-Bi1,3.147,2.126,0.067
2016-03-23,US-Bi2,1.491,2.129,0.032
2016-03-23,US-Tw3,2.815,2.13,0.06
2016-03-23,US-Twt,1.544,2.125,0.033
2016-03-24,US-Bi1,3.242,2.126,0.069
2016-03-24,US-Bi2,1.52,2.129,0.032
2016-03-24,US-Tw3,2.998,2.13,0.064
2016-03-24,US-Twt,1.627,2.125,0.035
2016-03-25,US-Bi1,3.614,2.126,0.077
2016-03-25,US-Bi2,1.676,2.129,0.036
2016-03-25,US-Tw3,3.267,2.13,0.07
2016-03-25,US-Twt,1.753,2.125,0.037
2016-03-26,US-Bi1,3.894,2.126,0.083
2016-03-26,US-Bi2,1.786,2.129,0.038
2016-03-26,US-Tw3,3.539,2.13,0.075
2016-03-26,US-Twt,1.878,2.125,0.04
2016-03-27,US-Bi1,3.339,2.126,0.071
2016-03-27,US-Bi2,1.515,2.129,0.032
2016-03-27,US-Tw3,3.051,2.13,0.065
2016-03-27,US-Twt,1.601,2.125,0.034
2016-03-28,US-Bi1,3.341,2.126,0.071
2016-03-28,US-Bi2,1.499,2.129,0.032
2016-03-28,US-Tw3,3.154,2.13,0.067
2016-03-28,US-Twt,1.637,2.125,0.035
2016-03-29,US-Bi1,3.343,2.126,0.071
2016-03-29,US-Bi2,1.482,2.129,0.032
2016-03-29,US-Tw3,3.172,2.13,0.068
2016-03-29,US-Twt,1.628,2.125,0.035
2016-03-30,US-Bi1,3.53,2.126,0.075
2016-03-30,US-Bi2,1.548,2.129,0.033
2016-03-30,US-Tw3,3.276,2.13,0.07
2016-03-30,US-Twt,1.664,2.125,0.035
2016-03-31,US-Bi1,3.811,2.126,0.081
2016-03-31,US-Bi2,1.652,2.129,0.035
2016-03-31,US-Tw3,3.468,2.13,0.074
2016-03-31,US-Twt,1.742,2.125,0.037
2016-04-01,US-Bi1,3.487,2.126,0.074
2016-04-01,US-Bi2,1.494,2.129,0.032
2016-04-01,US-Tw3,3.251,2.13,0.069
2016-04-01,US-Twt,1.641,2.125,0.035
2016-04-02,US-Bi1,3.41,2.126,0.072
2016-04-02,US-Bi2,1.444,2.129,0.031
