time,site,et,hectares,megaliters
2016-03-13,US-Tw3,0.905,2.13,0.019
2016-03-13,US-Twt,0.825,2.125,0.018
2016-03-14,US-Bi1,2.122,2.126,0.045
2016-03-14,US-Bi2,1.188,2.129,0.025
2016-03-14,US-Tw3,1.328,2.13,0.028
2016-03-14,US-Twt,1.209,2.125,0.026
2016-03-15,US-Bi1,2.695,2.126,0.057
2016-03-15,US-Bi2,1.546,2.129,0.033
2016-03-15,US-Tw3,1.75,2.13,0.037
2016-03-15,US-Twt,1.594,2.125,0.034
2016-03-16,US-Bi1,2.689,2.126,0.057
2016-03-16,US-Bi2,1.799,2.129,0.038
2016-03-16,US-Tw3,1.838,2.13,0.039
2016-03-16,US-Twt,1.667,2.125,0.035
2016-03-17,US-Bi1,2.776,2.126,0.059
2016-03-17,US-Bi2,1.924,2.129,0.041
2016-03-17,US-Tw3,1.866,2.13,0.04
2016-03-17,US-Twt,1.685,2.125,0.036
2016-03-18,US-Bi1,3.046,2.126,0.065
2016-03-18,US-Bi2,2.184,2.129,0.046
2016-03-18,US-Tw3,2.084,2.13,0.044
2016-03-18,US-Twt,1.874,2.125,0.04
2016-03-19,US-Bi1,2.855,2.126,0.061
2016-03-19,US-Bi2,2.116,2.129,0.045
2016-03-19,US-Tw3,1.986,2.13,0.042
2016-03-19,US-Twt,1.779,2.125,0.038
2016-03-20,US-Bi1,2.205,2.126,0.047
2016-03-20,US-Bi2,1.688,2.129,0.036
2016-03-20,US-Tw3,1.495,2.13,0.032
2016-03-20,US-Twt,1.334,2.125,0.028
2016-03-21,US-Bi1,2.2,2.126,0.047
2016-03-21,US-Bi2,1.738,2.129,0.037
2016-03-21,US-Tw3,1.582,2.13,0.034
2016-03-21,US-Twt,1.406,2.125,0.03
2016-03-22,US-Bi1,2.744,2.126,0.058
2016-03-22,US-Bi2,2.234,2.129,0.048
2016-03-22,US-Tw3,2.006,2.13,0.043
2016-03-22,US-Twt,1.776,2.125,0.038
2016-03-23,US-Bi1,3.103,2.126,0.066
2016-03-23,US-Bi2,2.603,2.129,0.055
2016-03-23,US-Tw3,2.305,2.13,0.049
2016-03-23,US-Twt,2.034,2.125,0.043
2016-03-24,US-Bi1,3.219,2.126,0.068
2016-03-24,US-Bi2,2.621,2.129,0.056
2016-03-24,US-Tw3,2.475,2.13,0.053
2016-03-24,US-Twt,2.128,2.125,0.045
2016-03-25,US-Bi1,3.615,2.126,0.077
2016-03-25,US-Bi2,2.855,2.129,0.061
2016-03-25,US-Tw3,2.718,2.13,0.058
2016-03-25,US-Twt,2.279,2.125,0.048
2016-03-26,US-Bi1,3.923,2.126,0.083
2016-03-26,US-Bi2,3.004,2.129,0.064
2016-03-26,US-Tw3,2.966,2.13,0.063
2016-03-26,US-Twt,2.425,2.125,0.052
2016-03-27,US-Bi1,3.388,2.126,0.072
2016-03-27,US-Bi2,2.515,2.129,0.054
2016-03-27,US-Tw3,2.576,2.13,0.055
2016-03-27,US-Twt,2.054,2.125,0.044
2016-03-28,US-Bi1,3.414,2.126,0.073
2016-03-28,US-Bi2,2.454,2.129,0.052
2016-03-28,US-Tw3,2.683,2.13,0.057
2016-03-28,US-Twt,2.086,2.125,0.044
2016-03-29,US-Bi1,3.439,2.126,0.073
2016-03-29,US-Bi2,2.394,2.129,0.051
2016-03-29,US-Tw3,2.718,2.13,0.058
2016-03-29,US-Twt,2.06,2.125,0.044
2016-03-30,US-Bi1,3.657,2.126,0.078
2016-03-30,US-Bi2,2.463,2.129,0.052
2016-03-30,US-Tw3,2.827,2.13,0.06
2016-03-30,US-Twt,2.09,2.125,0.044
2016-03-31,US-Bi1,3.975,2.126,0.085
2016-03-31,US-Bi2,2.589,2.129,0.055
2016-03-31,US-Tw3,3.013,2.13,0.064
2016-03-31,US-Twt,2.172,2.125,0.046
2016-04-01,US-Bi1,3.633,2.126,0.077
2016-04-01,US-Bi2,2.312,2.129,0.049
2016-04-01,US-Tw3,2.822,2.13,0.06
2016-04-01,US-Twt,1.996,2.125,0.042
2016-04-02,US-Bi1,3.548,2.126,0.075
2016-04-02,US-Bi2,2.205,2.129,0.047
2016-04-02,US-Tw3,2.67,2.13,0.057
2016-04-02,US-Twt,1.851,2.125,0.039
2016-04-03,US-Bi1,3.944,2.126,0.084
2016-04-03,US-Bi2,2.393,2.129,0.051
2016-04-03,US-Tw3,2.878,2.13,0.061
2016-04-03,US-Twt,1.956,2.125,0.042
2016-04-04,US-Bi1,4.438,2.126,0.094
2016-04-04,US-Bi2,2.628,2.129,0.056
2016-04-04,US-Tw3,3.3,2.13,0.07
2016-04-04,US-Twt,2.197,2.125,0.047
2016-04-05,US-Bi1,4.741,2.126,0.101
2016-04-05,US-Bi2,2.738,2.129,0.058
2016-04-05,US-Tw3,3.505,2.13,0.075
2016-04-05,US-Twt,2.285,2.125,0.049
2016-04-06,US-Bi1,4.658,2.126,0.099
2016-04-06,US-Bi2,2.623,2.129,0.056
2016-04-06,US-Tw3,3.637,2.13,0.077
2016-04-06,US-Twt,2.32,2.125,0.049
2016-04-07,US-Bi1,4.478,2.126,0.095
2016-04-07,US-Bi2,2.456,2.129,0.052
2016-04-07,US-Tw3,3.271,2.13,0.07
2016-04-07,US-Twt,2.04,2.125,0.043
2016-04-08,US-Bi1,3.417,2.126,0.073
2016-04-08,US-Bi2,1.825,2.129,0.039
2016-04-08,US-Tw3,2.481,2.13,0.053
2016-04-08,US-Twt,1.512,2.125,0.032
2016-04-09,US-Bi1,1.762,2.126,0.037
2016-04-09,US-Bi2,0.916,2.129,0.02
2016-04-09,US-Tw3,1.202,2.13,0.026
2016-04-09,US-Twt,0.715,2.125,0.015
2016-04-10,US-Bi1,1.571,2.126,0.033
2016-04-10,US-Bi2,0.795,2.129,0.017
2016-04-10,US-Tw3,1.128,2.13,0.024
2016-04-10,US-Twt,0.655,2.125,0.014
2016-04-11,US-Bi1,2.856,2.126,0.061
2016-04-11,US-Bi2,1.404,2.129,0.03
2016-04-11,US-Tw3,2.038,2.13,0.043
2016-04-11,US-Twt,1.154,2.125,0.025
2016-04-12,US-Bi1,3.753,2.126,0.08
2016-04-12,US-Bi2,1.793,2.129,0.038
2016-04-12,US-Tw3,2.662,2.13,0.057
2016-04-12,US-Twt,1.469,2.125,0.031
2016-04-13,US-Bi1,4.458,2.126,0.095
2016-04-13,US-Bi2,2.067,2.129,0.044
2016-04-13,US-Tw3,3.283,2.13,0.07
2016-04-13,US-Twt,1.763,2.125,0.037
2016-04-14,US-Bi1,3.875,2.126,0.082
2016-04-14,US-Bi2,1.743,2.129,0.037
2016-04-14,US-Tw3,2.646,2.13,0.056
2016-04-14,US-Twt,1.382,2.125,0.029
2016-04-15,US-Bi1,5.38,2.126,0.114
2016-04-15,US-Bi2,2.347,2.129,0.05
2016-04-15,US-Tw3,3.61,2.13,0.077
2016-04-15,US-Twt,1.833,2.125,0.039
2016-04-16,US-Bi1,4.896,2.126,0.104
2016-04-16,US-Bi2,2.069,2.129,0.044
2016-04-16,US-Tw3,3.461,2.13,0.074
2016-04-16,US-Twt,1.705,2.125,0.036
